SPECIES_NAME_ENG,TRIPCARD,LATITUDE,LONGITUDE,DATE_TIME,TIMEZONE,SEEN,LIFER,COUNT
Abdim's Stork,Kruger Jun 2000,-25.02301,23.078,2000-06-30T10:34:00,120,TRUE,TRUE,15
Yellow-collared Lovebird,Home,-21.901,33.073,2013-07-03T14:35:16,120,TRUE,FALSE,5
Karoo Thrush,My garden,-28.655,28.072,2015-06-30T23:59:59,120,FALSE,FALSE,1
Cape Sparrow,My garden,-28.655,28.072,2015-06-30T08:59:59,120,FALSE,TRUE,1
Rock Dove,My garden,-28.655,28.072,2015-06-30T08:30:00,120,FALSE,TRUE,1
Northern Rockhopper Penguin,Penguin Twitch,-33.945,28.842,2015-06-30T15:40:30,120,TRUE,TRUE,1
Hybrid Mallard,Home,-25.981,30.402,2015-06-30T12:33:14,120,TRUE,TRUE,5
Rock Martin,Kruger Jun 2000,-25,32,2000-06-30T00:00:00,120,TRUE,TRUE,4
Southern Fiscal,Atlas bash Jun 2009,-27.3019999,28.032,2009-06-30T08:10:00,120,FALSE,FALSE,1
Angola Cave Chat,Angola trip 2015,-17.241,12.822,2015-08-01T14:33:12,60,TRUE,TRUE,2
Red-knobbed Coot,CWAC Marievale 2013,-26.343025,28.51,2013-07-29T08:00:00,120,TRUE,TRUE,180
Rüppell's Korhaan,Namibia 2019,-20.55,16.95,2019-07-29T08:00:00,60,TRUE,TRUE,1
